Age,Ratings,MultipleDeliveries,RoadTrafficDensity,TimeTaken,Distance
24,4.7,0,Medium ,19,14.023232082720508
36,4.8,0,Medium ,15,13.40709269306037
37,4.8,0,High ,18,6.23213948584345
34,4.7,0,High ,23,6.11871184648133
36,4.9,0,Medium ,17,9.327285157807166
31,4.9,0,High ,28,6.1752835762935225
27,4.6,0,Medium ,20,10.7566978789543
32,4.8,0,Medium ,17,13.21657796576866
24,5.0,0,High ,12,6.118745338168406
32,4.8,0,Medium ,26,12.463883024165233
25,4.7,0,Medium ,19,4.530419434704422
24,4.7,0,High ,13,1.536906135093105
23,4.6,0,Medium ,13,20.25378851616113
25,4.6,0,Medium ,15,12.435689047352556
24,4.7,0,Medium ,15,6.2178836471546735
25,4.9,0,Medium ,16,16.385047886437913
28,4.7,0,High ,11,6.218076509378241
35,4.1,0,Medium ,38,16.824864366788066
29,5.0,0,Medium ,19,7.6605826935203325
35,4.7,0,High ,24,6.0500849922173
23,5.0,0,Medium ,20,10.64104205475587
21,5.0,0,Medium ,11,7.763197144629936
35,4.7,0,Medium ,24,19.89426959439532
32,4.7,0,Medium ,20,4.663432202069106
30,4.6,0,Medium ,17,17.137879924136854
28,4.9,0,Medium ,18,13.58119824079669
21,4.6,0,Medium ,19,6.105068213478978
20,4.5,0,Medium ,11,12.23475004887418
28,4.8,0,Medium ,23,9.178296996007994
27,5.0,0,Medium ,10,6.1814002106528525
23,4.5,0,Medium ,17,7.441030776848803
37,4.8,0,Medium ,21,6.208803958793639
32,4.6,0,High ,17,1.5525569855374293
24,4.5,0,Medium ,13,19.61873934890992
22,4.7,0,Medium ,10,10.806593198308844
32,4.5,0,Medium ,26,20.253686746553186
24,4.9,0,Medium ,15,17.098804215427094
39,4.8,0,Medium ,21,16.63489070927381
26,4.5,0,High ,11,6.232380001853704
22,5.0,0,Medium ,12,19.363385329843663
25,4.9,0,Medium ,10,7.772096240804917
20,4.9,0,Medium ,10,9.121375405730348
30,4.7,0,High ,21,6.146243657709842
22,4.7,0,Medium ,14,6.232189890331783
20,4.7,0,Medium ,12,14.022476786546209
36,4.6,0,Medium ,20,19.89051422309148
25,4.9,0,Medium ,11,13.98958472446292
28,5.0,0,High ,11,6.14716055903668
39,4.8,0,Medium ,27,13.405918573409515
38,4.8,0,High ,24,6.210169290027705
33,4.6,0,Medium ,19,6.14707315190533
35,4.7,0,Medium ,27,16.72128810379679
25,4.633987384377571,0,Medium ,23,12.35208563520776
26,4.8,0,Medium ,15,9.327285157807166
20,4.6,0,Medium ,12,6.209089325575503
36,4.7,0,Medium ,16,12.417792351846154
21,4.5,0,Medium ,16,6.120941769449399
23,4.9,0,Medium ,13,7.761160094263283
27,4.8,0,Medium ,19,4.527261449611571
33,4.5,0,High ,15,1.5094394255881682
20,4.8,0,Medium ,12,8.953006164795257
27,4.7,0,Medium ,21,6.037605711777172
37,4.8,0,Medium ,22,7.659687719269464
33,4.8,0,High ,27,6.128551257559438
22,5.0,0,Medium ,18,19.395547662678755
20,4.7,0,High ,17,6.217824017341541
33,5.0,0,High ,18,6.210589610131653
39,4.9,0,Medium ,17,4.395172854574225
35,4.8,0,Medium ,23,6.050438649144678
26,4.9,0,High ,17,6.128249797039683
30,4.8,0,High ,23,6.232373004842509
39,4.8,0,High ,22,6.208989451161391
36,5.0,0,Medium ,19,6.037445236169591
20,4.9,0,Medium ,23,6.128757701333823
38,4.3,0,Medium ,39,16.38450239784971
21,4.9,0,High ,13,1.5368503802873277
20,5.0,0,Medium ,10,4.527917012670671
31,5.0,0,High ,16,6.128639387675342
24,4.7,0,Medium ,17,19.9760275548983
20,4.9,0,Medium ,20,12.074224380197236
33,4.5,0,Medium ,21,4.528570754340881
26,4.5,0,High ,12,6.146683594747961
23,4.8,0,Medium ,21,7.790362125420462
24,5.0,0,High ,15,6.210045162741394
30,4.7,0,Medium ,34,13.403654334290668
29,4.8,0,Medium ,12,16.60006663596523
25,4.8,0,Medium ,11,6.232189890331783
24,4.9,0,Medium ,26,10.429991108543984
37,4.7,0,Medium ,19,7.573528692619093
23,4.7,0,High ,11,6.218076509378241
24,4.9,0,Medium ,12,20.1790330455349
30,4.8,0,Medium ,16,11.719471817246676
24,4.8,0,Medium ,15,4.53765368950546
34,4.9,0,Medium ,17,4.657672651012278
34,5.0,0,Medium ,19,6.11871184648133
37,4.5,0,High ,24,6.2178836471546735
33,5.0,0,High ,17,6.119245343760185
23,5.0,0,Medium ,25,20.851771383008938
27,4.6,0,High ,18,6.147076221351196
37,4.7,0,Medium ,24,19.975741216251755
36,4.7,0,High ,21,5.959357904065385
37,4.5,0,High ,17,6.051108888731975
21,4.8,0,Medium ,17,7.448318246646345
32,5.0,0,Medium ,31,10.724879289834991
29,4.8,0,High ,15,6.232241742001687
32,4.9,0,High ,21,6.050033593447071
25,4.6,0,Medium ,11,6.210618322478913
27,4.8,0,Medium ,10,5.9590183242927965
37,4.5,0,Medium ,21,4.610339345485858
38,4.5,0,High ,20,6.116927321775195
24,4.8,0,Medium ,11,6.054295400354863
22,4.7,0,High ,12,6.049993268725798
31,4.7,0,Medium ,15,9.314907489130784
30,5.0,0,Medium ,23,9.326602961224689
34,5.0,0,High ,23,6.1176737717900345
39,4.7,0,High ,23,6.119866712255649
21,5.0,0,Medium ,15,6.232472210259703
30,5.0,0,High ,16,6.037440799559519
27,4.6,0,Medium ,16,16.72238039072603
35,4.9,0,High ,20,6.146764726727316
24,4.6,0,Medium ,26,16.601240146491758
28,5.0,0,Medium ,15,14.02181621751823
24,4.5,0,Medium ,11,6.218030983834399
29,4.8,0,Medium ,21,6.050355980443695
27,4.6,0,High ,19,6.14707315190533
27,4.8,0,Medium ,14,12.464422665159104
24,4.7,0,High ,10,6.049956259842824
34,4.4,0,Medium ,35,20.85094842429164
33,4.9,0,Medium ,25,13.762097103509376
38,4.9,0,Medium ,22,6.040455611956062
27,4.9,0,High ,12,6.037990253842855
23,4.8,0,High ,13,6.037614687005781
33,4.9,0,Medium ,17,6.2180023477501365
30,4.9,0,Medium ,29,10.427575355203672
30,4.9,0,Medium ,15,5.960345509422042
29,4.9,0,High ,10,5.959019072198847
29,4.6,0,Medium ,11,6.217932880075239
36,4.8,0,High ,21,6.20948512848741
27,4.8,0,Medium ,18,5.958965689317968
30,5.0,0,High ,21,6.232152801408588
20,4.8,0,Medium ,12,10.708220667115578
31,4.7,0,Medium ,19,6.129183923478413
27,4.6,0,Medium ,22,6.058874461333648
25,4.6,0,Medium ,16,7.682703792685958
37,4.9,0,High ,23,6.2175256052988095
29,4.8,0,High ,12,5.860420732000538
29,5.0,0,Medium ,20,6.218153086304595
33,4.7,0,Medium ,22,6.128850978309644
28,4.7,0,Medium ,21,6.117761953268655
34,5.0,0,Medium ,17,6.210605364172088
21,4.6,0,Medium ,16,9.327285157807166
24,4.8,0,Medium ,12,7.660898978564715
29,4.6,0,Medium ,25,17.074879616982475
27,4.6,0,High ,16,6.03624419681424
29,4.9,0,Medium ,12,6.232393050098093
32,4.6,0,Medium ,28,6.051108888731975
39,4.2,0,Medium ,38,20.287561882238503
29,4.9,0,High ,18,6.128363940088683
20,4.7,0,High ,11,6.128501213948411
35,5.0,0,Medium ,17,8.940047176763544
20,5.0,0,Medium ,12,5.958756242099506
38,4.9,0,Medium ,29,10.602417764378336
22,4.6,0,High ,12,5.958963420623794
21,4.8,0,High ,15,6.050355980443695
25,4.8,0,Medium ,13,10.444732029393164
24,4.8,0,Medium ,11,19.618630653305623
20,5.0,0,Medium ,17,7.325363199099116
22,4.8,0,Medium ,16,10.8810778491577
24,4.3,0,High ,42,1.5125847679114428
26,4.8,0,Medium ,10,10.757554773074547
38,4.9,0,High ,20,5.958756242099506
26,4.6,0,Medium ,10,8.9401677198572
22,4.6,0,Medium ,16,5.958759869110948
28,4.9,0,High ,12,6.2420880497109295
28,4.6,0,High ,18,3.025153367895382
25,4.5,0,Medium ,23,16.60104618926184
39,4.9,0,Medium ,38,20.20593639010851
28,4.6,0,Medium ,14,12.162424445786696
22,4.7,0,Medium ,14,4.544085706065483
38,4.8,0,High ,18,5.959032639606671
26,4.6,0,High ,18,6.08088825250104
27,4.7,0,High ,10,6.218030983834399
34,4.6,0,High ,28,5.952904613773298
35,4.9,0,Medium ,17,4.658193607926964
20,4.6,0,High ,18,5.958771662932936
30,4.7,0,High ,22,6.210169290027705
35,4.9,0,Medium ,23,9.07468416416867
38,4.5,0,High ,22,6.03719317646398
25,4.8,0,Medium ,12,9.121421674276188
31,4.6,0,Medium ,27,13.830282747919052
33,4.7,0,Medium ,19,5.9590183242927965
32,4.9,0,Medium ,21,20.28649543973189
28,5.0,0,High ,13,6.127848456594303
22,5.0,0,Medium ,21,6.232241742001687
30,4.633987384377571,0,Medium ,14,12.435597855484014
